,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,Response,Country,Frequency,Monetary,Customer_Age
0,Graduation,Single,84835.0,0,0,0,1,SP,14,1190,44
1,Graduation,Single,57091.0,0,0,0,1,CA,17,577,53
2,Graduation,Together,67267.0,0,1,0,0,US,10,251,56
3,Graduation,Together,32474.0,1,1,0,0,AUS,3,11,47
4,Graduation,Single,21474.0,1,0,0,1,SP,6,91,25
5,PhD,Single,71691.0,0,0,0,1,SP,16,1192,56
6,2n Cycle,Together,63564.0,0,0,0,1,GER,27,1215,60
7,Graduation,Together,44931.0,0,1,0,0,SP,6,96,47
8,PhD,Together,65324.0,0,1,0,0,US,17,544,60
9,PhD,Together,65324.0,0,1,0,0,IND,17,544,60
10,2n Cycle,Together,81044.0,0,0,0,0,US,21,1208,66
11,Master,Together,62499.0,1,0,0,0,SP,10,222,34
12,PhD,Single,67786.0,0,0,0,1,IND,15,1156,54
13,Graduation,Together,26872.0,0,0,0,0,CA,4,72,32
14,Graduation,Together,4428.0,0,1,0,0,SP,25,359,44
15,Graduation,Together,54809.0,1,1,0,0,SP,8,174,36
16,Graduation,Together,54809.0,1,1,0,1,SP,8,174,36
17,PhD,Single,32173.0,0,1,0,0,SP,4,22,55
18,2n Cycle,Single,47823.0,0,1,0,0,CA,5,72,53
19,Master,Single,30523.0,2,1,0,0,CA,3,13,55
20,Master,Together,36634.0,0,1,0,0,SA,12,335,59
21,Master,Single,43456.0,0,1,0,0,IND,14,393,47
22,Master,Together,40662.0,1,0,0,0,GER,6,92,34
23,PhD,Together,49544.0,1,0,0,0,SP,14,404,37
24,Graduation,Single,57731.0,0,1,0,0,IND,22,704,43
25,Master,Single,33168.0,0,1,0,0,SP,7,122,47
26,Graduation,Together,54450.0,1,1,0,0,SP,19,684,56
27,Graduation,Together,54450.0,1,1,0,0,SP,19,684,56
28,PhD,Single,35340.0,1,1,1,0,SP,5,45,58
29,Graduation,Single,73170.0,0,0,1,0,CA,15,726,39
30,PhD,Single,65808.0,1,1,1,0,SP,11,272,43
31,Graduation,Together,79529.0,0,0,1,0,CA,21,1638,28
32,PhD,Together,34578.0,2,1,1,0,AUS,3,8,42
33,PhD,Together,46374.0,0,1,1,1,IND,15,446,40
34,Graduation,Together,18351.0,0,0,1,0,SP,5,43,23
35,PhD,Single,95169.0,0,0,1,1,SP,11,1901,26
36,2n Cycle,Together,65370.0,0,0,1,0,SP,18,461,29
37,Master,Single,39228.0,0,0,1,0,SA,3,20,53
38,PhD,Single,84865.0,0,0,1,1,SP,15,1688,52
39,Graduation,Together,61314.0,0,1,1,0,SP,22,1008,45
40,Graduation,Single,21359.0,1,0,1,1,CA,5,48,41
41,PhD,Together,66465.0,0,1,1,0,SP,32,1485,58
42,2n Cycle,Single,81698.0,0,0,1,1,SP,15,1104,30
43,Graduation,Single,39146.0,1,0,1,0,SP,8,165,27
44,2n Cycle,Single,25959.0,1,1,1,1,SP,5,56,43
45,Graduation,Together,64260.0,0,0,1,1,SP,13,1574,52
46,Graduation,Together,32300.0,1,0,1,0,SP,4,39,40
47,Master,Together,74806.0,0,1,1,0,AUS,14,965,47
48,Graduation,Single,72967.0,0,1,1,1,GER,17,497,42
49,Graduation,Single,48904.0,0,1,1,0,US,13,371,52
50,2n Cycle,Together,14796.0,1,0,1,1,GER,4,51,28
51,Master,Together,66991.0,0,0,1,0,GER,18,1253,58
52,2n Cycle,Single,52195.0,2,1,2,0,SA,3,17,36
53,Graduation,Together,90369.0,0,0,2,1,SP,16,1588,58
54,Basic,Together,18393.0,1,0,2,0,SP,6,50,40
55,Graduation,Single,47139.0,1,1,2,1,SP,5,83,62
56,Master,Together,38576.0,0,1,2,0,IND,4,41,41
57,PhD,Together,61905.0,0,1,2,0,SA,10,231,39
58,Graduation,Together,83715.0,0,0,2,0,SA,23,926,52
59,Graduation,Together,60597.0,0,1,2,1,SP,12,893,50
60,Master,Single,6560.0,0,0,2,0,SP,2,373,31
61,Master,Together,48330.0,0,1,2,0,SP,4,32,52
62,PhD,Single,38236.0,1,1,2,0,SP,7,88,45
63,Master,Together,22701.0,1,0,2,0,SP,4,24,36
64,Master,Single,53367.0,1,1,2,1,AUS,14,400,39
65,Graduation,Together,34728.0,1,0,2,1,SP,4,36,27
66,Master,Together,63915.0,0,2,2,0,AUS,21,789,57
67,2n Cycle,Together,82504.0,0,0,2,0,IND,16,1066,53
68,PhD,Single,38578.0,1,1,2,1,SP,6,73,41
69,PhD,Single,38578.0,1,1,2,0,SP,6,73,41
70,PhD,Together,79174.0,0,0,2,1,CA,18,2043,38
71,2n Cycle,Single,81975.0,0,1,2,0,SA,13,1588,51
72,Master,Together,43263.0,0,1,2,0,SP,13,441,35
73,Graduation,Single,27242.0,1,0,2,1,IND,5,106,42
74,Graduation,Together,76445.0,1,0,2,0,SA,20,1410,41
75,Graduation,Together,75276.0,0,0,2,0,SP,22,1040,47
76,Graduation,Single,34213.0,1,1,2,1,SA,6,117,49
77,PhD,Together,72335.0,0,0,2,1,SP,22,2092,36
78,Master,Together,79143.0,0,0,2,0,AUS,28,1693,48
79,Graduation,Together,27469.0,0,0,2,0,CA,3,17,65
80,Graduation,Together,68695.0,0,0,3,0,SP,15,1091,45
81,Graduation,Together,68695.0,0,0,3,0,CA,15,1091,45
82,Graduation,Single,50388.0,0,1,3,1,GER,13,372,57
83,PhD,Together,77622.0,0,2,3,0,SA,20,714,44
84,Graduation,Single,46102.0,2,1,3,0,SP,3,16,52
